id,gender,name,birth_date,birth_place,award_year,portion,prize_amount,category,university,university_country
293,male,Emil von Behring,1854-03-15,Poland,1901,1,8722510,Physiology or Medicine,Marburg University,Germany
463,male,Frédéric Passy,1822-05-20,France,1901,1/2,8722510,Peace,,
462,male,Henry Dunant,1828-05-08,Switzerland,1901,1/2,8722510,Peace,,
160,male,Jacobus H. van 't Hoff,1852-08-30,the Netherlands,1901,1,8722510,Chemistry,Berlin University,Germany
569,male,Sully Prudhomme,1839-03-16,France,1901,1,8722510,Literature,,
1,male,Wilhelm Conrad Röntgen,1845-03-27,Germany,1901,1,8722510,Physics,Munich University,Germany
465,male,Albert Gobat,1843-05-21,Switzerland,1902,1/2,8205634,Peace,,
464,male,Élie Ducommun,1833-02-19,Switzerland,1902,1/2,8205634,Peace,,
161,male,Emil Fischer,1852-10-09,Germany,1902,1,8205634,Chemistry,Berlin University,Germany
2,male,Hendrik A. Lorentz,1853-07-18,the Netherlands,1902,1/2,8205634,Physics,Leiden University,the Netherlands
3,male,Pieter Zeeman,1865-05-25,the Netherlands,1902,1/2,8205634,Physics,Amsterdam University,the Netherlands
294,male,Ronald Ross,1857-05-13,India,1902,1,8205634,Physiology or Medicine,University College,United Kingdom
571,male,Theodor Mommsen,1817-11-30,Germany,1902,1,8205634,Literature,,
572,male,Bjørnstjerne Bjørnson,1832-12-08,Norway,1903,1,7936836,Literature,,
4,male,Henri Becquerel,1852-12-15,France,1903,1/2,7936836,Physics,École Polytechnique,France
6,female,Marie Curie,1867-11-07,Poland,1903,1/4,7936836,Physics,,
295,male,Niels Ryberg Finsen,1860-12-15,Faroe Islands (Denmark),1903,1,7936836,Physiology or Medicine,Finsen Medical Light Institute,Denmark
5,male,Pierre Curie,1859-05-15,France,1903,1/4,7936836,Physics,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),France
466,male,Randal Cremer,1828-03-18,United Kingdom,1903,1,7936836,Peace,,
162,male,Svante Arrhenius,1859-02-19,Sweden,1903,1,7936836,Chemistry,Stockholm University,Sweden
573,male,Frédéric Mistral,1830-09-08,France,1904,1/2,7908819,Literature,,
296,male,Ivan Pavlov,1849-09-14,Russia,1904,1,7908819,Physiology or Medicine,Military Medical Academy,Russia
574,male,José Echegaray,1832-04-19,Spain,1904,1/2,7908819,Literature,,
8,male,Lord Rayleigh,1842-11-12,United Kingdom,1904,1,7908819,Physics,Royal Institution of Great Britain,United Kingdom
163,male,Sir William Ramsay,1852-10-02,Scotland,1904,1,7908819,Chemistry,University College,United Kingdom
164,male,Adolf von Baeyer,1835-10-31,Germany,1905,1,7753291,Chemistry,Munich University,Germany
468,female,Bertha von Suttner,1843-06-09,Czech Republic,1905,1,7753291,Peace,,
575,male,Henryk Sienkiewicz,1846-05-05,Poland,1905,1,7753291,Literature,,
9,male,Philipp Lenard,1862-06-07,Slovakia,1905,1,7753291,Physics,Kiel University,Germany
297,male,Robert Koch,1843-12-11,Germany,1905,1,7753291,Physiology or Medicine,Institute for Infectious Diseases,Germany
298,male,Camillo Golgi,1843-07-07,Italy,1906,1/2,7556149,Physiology or Medicine,Pavia University,Italy
576,male,Giosuè Carducci,1835-07-27,Italy,1906,1,7556149,Literature,,
165,male,Henri Moissan,1852-09-28,France,1906,1,7556149,Chemistry,Sorbonne University,France
10,male,J.J. Thomson,1856-12-18,United Kingdom,1906,1,7556149,Physics,University of Cambridge,United Kingdom
299,male,Santiago Ramón y Cajal,1852-05-01,Spain,1906,1/2,7556149,Physiology or Medicine,Madrid University,Spain
470,male,Theodore Roosevelt,1858-10-27,USA,1906,1,7556149,Peace,,
11,male,Albert A. Michelson,1852-12-19,Poland,1907,1,7161123,Physics,University of Chicago,USA
300,male,Alphonse Laveran,1845-06-18,France,1907,1,7161123,Physiology or Medicine,Institut Pasteur,France
166,male,Eduard Buchner,1860-05-20,Germany,1907,1,7161123,Chemistry,Landwirtschaftliche Hochschule (Agricultural College),Germany
471,male,Ernesto Teodoro Moneta,1833-09-20,Italy,1907,1/2,7161123,Peace,,
472,male,Louis Renault,1843-05-21,France,1907,1/2,7161123,Peace,Sorbonne University,France
577,male,Rudyard Kipling,1865-12-30,India,1907,1,7161123,Literature,,
167,male,Ernest Rutherford,1871-08-30,New Zealand,1908,1,7212924,Chemistry,Victoria University,United Kingdom
474,male,Fredrik Bajer,1837-04-21,Denmark,1908,1/2,7212924,Peace,,
12,male,Gabriel Lippmann,1845-08-16,Luxembourg,1908,1,7212924,Physics,Sorbonne University,France
301,male,Ilya Mechnikov,1845-05-15,Ukraine,1908,1/2,7212924,Physiology or Medicine,Institut Pasteur,France
473,male,Klas Pontus Arnoldson,1844-10-27,Sweden,1908,1/2,7212924,Peace,,
302,male,Paul Ehrlich,1854-03-14,Poland,1908,1/2,7212924,Physiology or Medicine,Goettingen University,Germany
578,male,Rudolf Eucken,1846-01-05,Germany,1908,1,7212924,Literature,,
475,male,Auguste Beernaert,1829-07-26,Belgium,1909,1/2,7212924,Peace,,
14,male,Ferdinand Braun,1850-06-06,Germany,1909,1/2,7212924,Physics,Strasbourg University,France
13,male,Guglielmo Marconi,1874-04-25,Italy,1909,1/2,7212924,Physics,Marconi Wireless Telegraph Co. Ltd.,United Kingdom
476,male,Paul Henri d'Estournelles de Constant,1852-11-22,France,1909,1/2,7212924,Peace,,
579,female,Selma Lagerlöf,1858-11-20,Sweden,1909,1,7212924,Literature,,
303,male,Theodor Kocher,1841-08-25,Switzerland,1909,1,7212924,Physiology or Medicine,Berne University,Switzerland
168,male,Wilhelm Ostwald,1853-09-02,Latvia,1909,1,7212924,Chemistry,Leipzig University,Germany
304,male,Albrecht Kossel,1853-09-16,Germany,1910,1,7259514,Physiology or Medicine,University of Heidelberg,Germany
15,male,Johannes Diderik van der Waals,1837-11-23,the Netherlands,1910,1,7259514,Physics,Amsterdam University,the Netherlands
169,male,Otto Wallach,1847-03-27,Russia,1910,1,7259514,Chemistry,Goettingen University,Germany
580,male,Paul Heyse,1830-03-15,Germany,1910,1,7259514,Literature,,
479,male,Alfred Fried,1864-11-11,Austria,1911,1/2,7460743,Peace,,
305,male,Allvar Gullstrand,1862-06-05,Sweden,1911,1,7460743,Physiology or Medicine,Uppsala University,Sweden
6,female,Marie Curie,1867-11-07,Poland,1903,1/4,7936836,Physics,,
581,male,Maurice Maeterlinck,1862-08-29,Belgium,1911,1,7460743,Literature,,
478,male,Tobias Asser,1838-04-28,the Netherlands,1911,1/2,7460743,Peace,,
16,male,Wilhelm Wien,1864-01-13,Russia,1911,1,7460743,Physics,Würzburg University,Germany
306,male,Alexis Carrel,1873-06-28,France,1912,1,6876120,Physiology or Medicine,Rockefeller Institute for Medical Research,USA
480,male,Elihu Root,1845-02-15,USA,1912,1,6876120,Peace,,
582,male,Gerhart Hauptmann,1862-11-15,Poland,1912,1,6876120,Literature,,
17,male,Gustaf Dalén,1869-11-30,Sweden,1912,1,6876120,Physics,Swedish Gas-Accumulator Co.,Sweden
173,male,Paul Sabatier,1854-11-05,France,1912,1/2,6876120,Chemistry,Toulouse University,France
172,male,Victor Grignard,1871-05-06,France,1912,1/2,6876120,Chemistry,Nancy University,France
174,male,Alfred Werner,1866-12-12,France,1913,1,7000156,Chemistry,University of Zurich,Switzerland
307,male,Charles Richet,1850-08-26,France,1913,1,7000156,Physiology or Medicine,Sorbonne University,France
18,male,Heike Kamerlingh Onnes,1853-09-21,the Netherlands,1913,1,7000156,Physics,Leiden University,the Netherlands
481,male,Henri La Fontaine,1854-04-22,Belgium,1913,1,7000156,Peace,,
583,male,Rabindranath Tagore,1861-05-07,India,1913,1,7000156,Literature,,
19,male,Max von Laue,1879-10-09,Germany,1914,1,7190567,Physics,Frankfurt-on-the-Main University,Germany
308,male,Robert Bárány,1876-04-22,Austria,1914,1,7190567,Physiology or Medicine,Vienna University,Austria
175,male,Theodore W. Richards,1868-01-31,USA,1914,1,7190567,Chemistry,Harvard University,USA
21,male,Lawrence Bragg,1890-03-31,Australia,1915,1/2,6330371,Physics,Victoria University,United Kingdom
176,male,Richard Willstätter,1872-08-13,Germany,1915,1,6330371,Chemistry,Munich University,Germany
584,male,Romain Rolland,1866-01-29,France,1915,1,6330371,Literature,,
20,male,William Bragg,1862-07-02,United Kingdom,1915,1/2,6330371,Physics,University College,United Kingdom
585,male,Verner von Heidenstam,1859-07-06,Sweden,1916,1,4933193,Literature,,
