id,gender,name,birth_date,birth_place,award_year,portion,prize_amount,category,university,university_country,age_at_award,prize_amount_actual
293,male,Emil von Behring,1854,Poland,1901,1,8722510,Physiology or Medicine,Marburg University,Germany,47,8722510.0
463,male,Frédéric Passy,1822,France,1901,2,8722510,Peace,,,79,4361255.0
462,male,Henry Dunant,1828,Switzerland,1901,2,8722510,Peace,,,73,4361255.0
160,male,Jacobus H. van 't Hoff,1852,the Netherlands,1901,1,8722510,Chemistry,Berlin University,Germany,49,8722510.0
569,male,Sully Prudhomme,1839,France,1901,1,8722510,Literature,,,62,8722510.0
1,male,Wilhelm Conrad Röntgen,1845,Germany,1901,1,8722510,Physics,Munich University,Germany,56,8722510.0
465,male,Albert Gobat,1843,Switzerland,1902,2,8205634,Peace,,,59,4102817.0
464,male,Élie Ducommun,1833,Switzerland,1902,2,8205634,Peace,,,69,4102817.0
161,male,Emil Fischer,1852,Germany,1902,1,8205634,Chemistry,Berlin University,Germany,50,8205634.0
2,male,Hendrik A. Lorentz,1853,the Netherlands,1902,2,8205634,Physics,Leiden University,the Netherlands,49,4102817.0
3,male,Pieter Zeeman,1865,the Netherlands,1902,2,8205634,Physics,Amsterdam University,the Netherlands,37,4102817.0
294,male,Ronald Ross,1857,India,1902,1,8205634,Physiology or Medicine,University College,United Kingdom,45,8205634.0
571,male,Theodor Mommsen,1817,Germany,1902,1,8205634,Literature,,,85,8205634.0
572,male,Bjørnstjerne Bjørnson,1832,Norway,1903,1,7936836,Literature,,,71,7936836.0
4,male,Henri Becquerel,1852,France,1903,2,7936836,Physics,École Polytechnique,France,51,3968418.0
6,female,Marie Curie,1867,Poland,1903,4,7936836,Physics,,,36,1984209.0
295,male,Niels Ryberg Finsen,1860,Faroe Islands (Denmark),1903,1,7936836,Physiology or Medicine,Finsen Medical Light Institute,Denmark,43,7936836.0
5,male,Pierre Curie,1859,France,1903,4,7936836,Physics,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),France,44,1984209.0
466,male,Randal Cremer,1828,United Kingdom,1903,1,7936836,Peace,,,75,7936836.0
162,male,Svante Arrhenius,1859,Sweden,1903,1,7936836,Chemistry,Stockholm University,Sweden,44,7936836.0
573,male,Frédéric Mistral,1830,France,1904,2,7908819,Literature,,,74,3954409.5
296,male,Ivan Pavlov,1849,Russia,1904,1,7908819,Physiology or Medicine,Military Medical Academy,Russia,55,7908819.0
574,male,José Echegaray,1832,Spain,1904,2,7908819,Literature,,,72,3954409.5
8,male,Lord Rayleigh,1842,United Kingdom,1904,1,7908819,Physics,Royal Institution of Great Britain,United Kingdom,62,7908819.0
163,male,Sir William Ramsay,1852,Scotland,1904,1,7908819,Chemistry,University College,United Kingdom,52,7908819.0
164,male,Adolf von Baeyer,1835,Germany,1905,1,7753291,Chemistry,Munich University,Germany,70,7753291.0
468,female,Bertha von Suttner,1843,Czech Republic,1905,1,7753291,Peace,,,62,7753291.0
575,male,Henryk Sienkiewicz,1846,Poland,1905,1,7753291,Literature,,,59,7753291.0
9,male,Philipp Lenard,1862,Slovakia,1905,1,7753291,Physics,Kiel University,Germany,43,7753291.0
297,male,Robert Koch,1843,Germany,1905,1,7753291,Physiology or Medicine,Institute for Infectious Diseases,Germany,62,7753291.0
298,male,Camillo Golgi,1843,Italy,1906,2,7556149,Physiology or Medicine,Pavia University,Italy,63,3778074.5
576,male,Giosuè Carducci,1835,Italy,1906,1,7556149,Literature,,,71,7556149.0
